Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/13,25-29,3,7,02/02/2021 02:15:04 PM
2020/03/14,25-29,2,9,02/02/2021 02:15:04 PM
2020/03/15,25-29,1,10,02/02/2021 02:15:04 PM
2020/03/16,25-29,1,11,02/02/2021 02:15:04 PM
2020/03/17,25-29,0,11,02/02/2021 02:15:04 PM
2020/03/18,25-29,3,14,02/02/2021 02:15:04 PM
2020/03/19,25-29,0,14,02/02/2021 02:15:04 PM
2020/03/20,25-29,5,19,02/02/2021 02:15:04 PM
2020/03/21,25-29,1,20,02/02/2021 02:15:04 PM
2020/03/22,25-29,4,24,02/02/2021 02:15:04 PM
2020/03/23,25-29,4,28,02/02/2021 02:15:04 PM
2020/03/24,25-29,6,34,02/02/2021 02:15:04 PM
2020/03/25,25-29,3,37,02/02/2021 02:15:04 PM
2020/03/26,25-29,5,42,02/02/2021 02:15:04 PM
2020/03/27,25-29,3,45,02/02/2021 02:15:04 PM
2020/03/28,25-29,3,48,02/02/2021 02:15:04 PM
2020/03/29,25-29,1,49,02/02/2021 02:15:04 PM
2020/03/30,25-29,5,54,02/02/2021 02:15:04 PM
2020/03/31,25-29,7,61,02/02/2021 02:15:04 PM
2020/04/01,25-29,7,68,02/02/2021 02:15:04 PM
2020/04/02,25-29,2,70,02/02/2021 02:15:04 PM
2020/04/03,25-29,3,73,02/02/2021 02:15:04 PM
2020/04/04,25-29,0,73,02/02/2021 02:15:04 PM
2020/04/05,25-29,8,81,02/02/2021 02:15:04 PM
2020/04/06,25-29,3,84,02/02/2021 02:15:04 PM
2020/04/07,25-29,4,88,02/02/2021 02:15:04 PM
2020/04/08,25-29,3,91,02/02/2021 02:15:04 PM
2020/04/09,25-29,9,100,02/02/2021 02:15:04 PM
2020/04/10,25-29,1,101,02/02/2021 02:15:04 PM
2020/04/11,25-29,2,103,02/02/2021 02:15:04 PM
2020/04/12,25-29,1,104,02/02/2021 02:15:04 PM
2020/04/13,25-29,3,107,02/02/2021 02:15:04 PM
2020/04/14,25-29,3,110,02/02/2021 02:15:04 PM
2020/04/15,25-29,1,111,02/02/2021 02:15:04 PM
2020/04/16,25-29,2,113,02/02/2021 02:15:04 PM
2020/04/17,25-29,2,115,02/02/2021 02:15:04 PM
2020/04/18,25-29,0,115,02/02/2021 02:15:04 PM
2020/04/19,25-29,1,116,02/02/2021 02:15:04 PM
2020/04/20,25-29,1,117,02/02/2021 02:15:04 PM
2020/04/21,25-29,1,118,02/02/2021 02:15:04 PM
2020/04/22,25-29,3,121,02/02/2021 02:15:04 PM
2020/04/23,25-29,2,123,02/02/2021 02:15:04 PM
2020/04/24,25-29,2,125,02/02/2021 02:15:04 PM
2020/04/25,25-29,0,125,02/02/2021 02:15:04 PM
2020/04/26,25-29,2,127,02/02/2021 02:15:04 PM
2020/04/27,25-29,4,131,02/02/2021 02:15:04 PM
2020/04/28,25-29,9,140,02/02/2021 02:15:04 PM
2020/04/29,25-29,6,146,02/02/2021 02:15:04 PM
2020/04/30,25-29,6,152,02/02/2021 02:15:04 PM
2020/05/01,25-29,1,153,02/02/2021 02:15:04 PM
2020/05/02,25-29,4,157,02/02/2021 02:15:04 PM
2020/05/03,25-29,0,157,02/02/2021 02:15:04 PM
2020/05/04,25-29,7,164,02/02/2021 02:15:04 PM
2020/05/05,25-29,4,168,02/02/2021 02:15:04 PM
2020/05/06,25-29,6,174,02/02/2021 02:15:04 PM
2020/05/07,25-29,1,175,02/02/2021 02:15:04 PM
2020/05/08,25-29,2,177,02/02/2021 02:15:04 PM
2020/05/09,25-29,0,177,02/02/2021 02:15:04 PM
2020/05/10,25-29,0,177,02/02/2021 02:15:04 PM
2020/05/11,25-29,2,179,02/02/2021 02:15:04 PM
2020/05/12,25-29,1,180,02/02/2021 02:15:04 PM
2020/05/13,25-29,2,182,02/02/2021 02:15:04 PM
2020/05/14,25-29,5,187,02/02/2021 02:15:04 PM
2020/05/15,25-29,2,189,02/02/2021 02:15:04 PM
2020/05/16,25-29,0,189,02/02/2021 02:15:04 PM
2020/05/17,25-29,2,191,02/02/2021 02:15:04 PM
2020/05/18,25-29,3,194,02/02/2021 02:15:04 PM
2020/05/19,25-29,2,196,02/02/2021 02:15:04 PM
2020/05/20,25-29,3,199,02/02/2021 02:15:04 PM
2020/05/21,25-29,5,204,02/02/2021 02:15:04 PM
2020/05/22,25-29,4,208,02/02/2021 02:15:04 PM
2020/05/23,25-29,3,211,02/02/2021 02:15:04 PM
2020/05/24,25-29,3,214,02/02/2021 02:15:04 PM
2020/05/25,25-29,0,214,02/02/2021 02:15:04 PM
2020/05/26,25-29,6,220,02/02/2021 02:15:04 PM
2020/05/27,25-29,2,222,02/02/2021 02:15:04 PM
2020/05/28,25-29,0,222,02/02/2021 02:15:04 PM
2020/05/29,25-29,3,225,02/02/2021 02:15:04 PM
2020/05/30,25-29,1,226,02/02/2021 02:15:04 PM
2020/05/31,25-29,2,228,02/02/2021 02:15:04 PM
2020/06/01,25-29,4,232,02/02/2021 02:15:04 PM
2020/06/02,25-29,3,235,02/02/2021 02:15:04 PM
2020/06/03,25-29,3,238,02/02/2021 02:15:04 PM
2020/06/04,25-29,6,244,02/02/2021 02:15:04 PM
2020/06/05,25-29,3,247,02/02/2021 02:15:04 PM
2020/06/06,25-29,1,248,02/02/2021 02:15:04 PM
2020/06/07,25-29,4,252,02/02/2021 02:15:04 PM
2020/06/08,25-29,6,258,02/02/2021 02:15:04 PM
2020/06/09,25-29,3,261,02/02/2021 02:15:04 PM
2020/06/10,25-29,0,261,02/02/2021 02:15:04 PM
2020/06/11,25-29,2,263,02/02/2021 02:15:04 PM
2020/06/12,25-29,1,264,02/02/2021 02:15:04 PM
2020/06/13,25-29,3,267,02/02/2021 02:15:04 PM
2020/06/14,25-29,3,270,02/02/2021 02:15:04 PM
2020/06/15,25-29,2,272,02/02/2021 02:15:04 PM
2020/06/16,25-29,6,278,02/02/2021 02:15:04 PM
2020/06/17,25-29,7,285,02/02/2021 02:15:04 PM
2020/06/18,25-29,9,294,02/02/2021 02:15:04 PM
2020/06/19,25-29,8,302,02/02/2021 02:15:04 PM
2020/06/20,25-29,6,308,02/02/2021 02:15:04 PM
2020/06/21,25-29,6,314,02/02/2021 02:15:04 PM
2020/06/22,25-29,15,329,02/02/2021 02:15:04 PM
2020/06/23,25-29,9,338,02/02/2021 02:15:04 PM
2020/06/24,25-29,8,346,02/02/2021 02:15:04 PM
2020/06/25,25-29,11,357,02/02/2021 02:15:04 PM
2020/06/26,25-29,11,368,02/02/2021 02:15:04 PM
2020/06/27,25-29,7,375,02/02/2021 02:15:04 PM
2020/06/28,25-29,6,381,02/02/2021 02:15:04 PM
2020/06/29,25-29,12,393,02/02/2021 02:15:04 PM
2020/06/30,25-29,15,408,02/02/2021 02:15:04 PM
2020/07/01,25-29,11,419,02/02/2021 02:15:04 PM
2020/07/02,25-29,15,434,02/02/2021 02:15:04 PM
2020/07/03,25-29,6,440,02/02/2021 02:15:04 PM
2020/07/04,25-29,5,445,02/02/2021 02:15:04 PM
2020/07/05,25-29,8,453,02/02/2021 02:15:04 PM
2020/07/06,25-29,14,467,02/02/2021 02:15:04 PM
2020/07/07,25-29,17,484,02/02/2021 02:15:04 PM
2020/07/08,25-29,11,495,02/02/2021 02:15:04 PM
2020/07/09,25-29,14,509,02/02/2021 02:15:04 PM
2020/07/10,25-29,15,524,02/02/2021 02:15:04 PM
2020/07/11,25-29,9,533,02/02/2021 02:15:04 PM
2020/07/12,25-29,9,542,02/02/2021 02:15:04 PM
2020/07/13,25-29,14,556,02/02/2021 02:15:04 PM
2020/07/14,25-29,18,574,02/02/2021 02:15:04 PM
2020/07/15,25-29,26,600,02/02/2021 02:15:04 PM
2020/07/16,25-29,16,616,02/02/2021 02:15:04 PM
2020/07/17,25-29,16,632,02/02/2021 02:15:04 PM
2020/07/18,25-29,9,641,02/02/2021 02:15:04 PM
2020/07/19,25-29,7,648,02/02/2021 02:15:04 PM
2020/07/20,25-29,17,665,02/02/2021 02:15:04 PM
2020/07/21,25-29,15,680,02/02/2021 02:15:04 PM
2020/07/22,25-29,15,695,02/02/2021 02:15:04 PM
2020/07/23,25-29,17,712,02/02/2021 02:15:04 PM
2020/07/24,25-29,13,725,02/02/2021 02:15:04 PM
2020/07/25,25-29,14,739,02/02/2021 02:15:04 PM
2020/07/26,25-29,8,747,02/02/2021 02:15:04 PM
2020/07/27,25-29,15,762,02/02/2021 02:15:04 PM
2020/07/28,25-29,5,767,02/02/2021 02:15:04 PM
2020/07/29,25-29,18,785,02/02/2021 02:15:04 PM
2020/07/30,25-29,9,794,02/02/2021 02:15:04 PM
2020/07/31,25-29,16,810,02/02/2021 02:15:04 PM
2020/08/01,25-29,9,819,02/02/2021 02:15:04 PM
2020/08/02,25-29,5,824,02/02/2021 02:15:04 PM
2020/08/03,25-29,16,840,02/02/2021 02:15:04 PM
2020/08/04,25-29,8,848,02/02/2021 02:15:04 PM
2020/08/05,25-29,19,867,02/02/2021 02:15:04 PM
2020/08/06,25-29,14,881,02/02/2021 02:15:04 PM
2020/08/07,25-29,5,886,02/02/2021 02:15:04 PM
2020/08/08,25-29,6,892,02/02/2021 02:15:04 PM
2020/08/09,25-29,6,898,02/02/2021 02:15:04 PM
2020/08/10,25-29,4,902,02/02/2021 02:15:04 PM
2020/08/11,25-29,14,916,02/02/2021 02:15:04 PM
2020/08/12,25-29,18,934,02/02/2021 02:15:04 PM
2020/08/13,25-29,13,947,02/02/2021 02:15:04 PM
2020/08/14,25-29,11,958,02/02/2021 02:15:04 PM
2020/08/15,25-29,6,964,02/02/2021 02:15:04 PM
2020/08/16,25-29,2,966,02/02/2021 02:15:04 PM
2020/08/17,25-29,9,975,02/02/2021 02:15:04 PM
2020/08/18,25-29,8,983,02/02/2021 02:15:04 PM
2020/08/19,25-29,8,991,02/02/2021 02:15:04 PM
2020/08/20,25-29,13,1004,02/02/2021 02:15:04 PM
2020/08/21,25-29,11,1015,02/02/2021 02:15:04 PM
2020/08/22,25-29,4,1019,02/02/2021 02:15:04 PM
2020/08/23,25-29,5,1024,02/02/2021 02:15:04 PM
2020/08/24,25-29,11,1035,02/02/2021 02:15:04 PM
2020/08/25,25-29,8,1043,02/02/2021 02:15:04 PM
2020/08/26,25-29,16,1059,02/02/2021 02:15:04 PM
2020/08/27,25-29,12,1071,02/02/2021 02:15:04 PM
2020/08/28,25-29,6,1077,02/02/2021 02:15:04 PM
2020/08/29,25-29,4,1081,02/02/2021 02:15:04 PM
2020/08/30,25-29,7,1088,02/02/2021 02:15:04 PM
2020/08/31,25-29,15,1103,02/02/2021 02:15:04 PM
2020/09/01,25-29,12,1115,02/02/2021 02:15:04 PM
2020/09/02,25-29,8,1123,02/02/2021 02:15:04 PM
2020/09/03,25-29,2,1125,02/02/2021 02:15:04 PM
2020/09/04,25-29,8,1133,02/02/2021 02:15:04 PM
2020/09/05,25-29,0,1133,02/02/2021 02:15:04 PM
2020/09/06,25-29,3,1136,02/02/2021 02:15:04 PM
2020/09/07,25-29,4,1140,02/02/2021 02:15:04 PM
2020/09/08,25-29,7,1147,02/02/2021 02:15:04 PM
2020/09/09,25-29,4,1151,02/02/2021 02:15:04 PM
2020/09/10,25-29,9,1160,02/02/2021 02:15:04 PM
2020/09/11,25-29,8,1168,02/02/2021 02:15:04 PM
2020/09/12,25-29,3,1171,02/02/2021 02:15:04 PM
2020/09/13,25-29,2,1173,02/02/2021 02:15:04 PM
2020/09/14,25-29,12,1185,02/02/2021 02:15:04 PM
2020/09/15,25-29,10,1195,02/02/2021 02:15:04 PM
2020/09/16,25-29,4,1199,02/02/2021 02:15:04 PM
2020/09/17,25-29,3,1202,02/02/2021 02:15:04 PM
2020/09/18,25-29,8,1210,02/02/2021 02:15:04 PM
2020/09/19,25-29,5,1215,02/02/2021 02:15:04 PM
2020/09/20,25-29,1,1216,02/02/2021 02:15:04 PM
2020/09/21,25-29,7,1223,02/02/2021 02:15:04 PM
2020/09/22,25-29,4,1227,02/02/2021 02:15:04 PM
2020/09/23,25-29,3,1230,02/02/2021 02:15:04 PM
2020/09/24,25-29,11,1241,02/02/2021 02:15:04 PM
2020/09/25,25-29,3,1244,02/02/2021 02:15:04 PM
2020/09/26,25-29,1,1245,02/02/2021 02:15:04 PM
2020/09/27,25-29,2,1247,02/02/2021 02:15:04 PM
2020/09/28,25-29,0,1247,02/02/2021 02:15:04 PM
2020/09/29,25-29,6,1253,02/02/2021 02:15:04 PM
2020/09/30,25-29,14,1267,02/02/2021 02:15:04 PM
2020/10/01,25-29,8,1275,02/02/2021 02:15:04 PM
2020/10/02,25-29,1,1276,02/02/2021 02:15:04 PM
2020/10/03,25-29,3,1279,02/02/2021 02:15:04 PM
2020/10/04,25-29,4,1283,02/02/2021 02:15:04 PM
2020/10/05,25-29,6,1289,02/02/2021 02:15:04 PM
2020/10/06,25-29,6,1295,02/02/2021 02:15:04 PM
2020/10/07,25-29,8,1303,02/02/2021 02:15:04 PM
2020/10/08,25-29,7,1310,02/02/2021 02:15:04 PM
2020/10/09,25-29,10,1320,02/02/2021 02:15:04 PM
2020/10/10,25-29,1,1321,02/02/2021 02:15:04 PM
2020/10/11,25-29,3,1324,02/02/2021 02:15:04 PM
2020/10/12,25-29,4,1328,02/02/2021 02:15:04 PM
2020/10/13,25-29,2,1330,02/02/2021 02:15:04 PM
2020/10/14,25-29,6,1336,02/02/2021 02:15:04 PM
2020/10/15,25-29,5,1341,02/02/2021 02:15:04 PM
2020/10/16,25-29,9,1350,02/02/2021 02:15:04 PM
2020/10/17,25-29,4,1354,02/02/2021 02:15:04 PM
2020/10/18,25-29,0,1354,02/02/2021 02:15:04 PM
2020/10/19,25-29,8,1362,02/02/2021 02:15:04 PM
2020/10/20,25-29,10,1372,02/02/2021 02:15:04 PM
2020/10/21,25-29,7,1379,02/02/2021 02:15:04 PM
2020/10/22,25-29,7,1386,02/02/2021 02:15:04 PM
2020/10/23,25-29,8,1394,02/02/2021 02:15:04 PM
2020/10/24,25-29,5,1399,02/02/2021 02:15:04 PM
2020/10/25,25-29,6,1405,02/02/2021 02:15:04 PM
2020/10/26,25-29,9,1414,02/02/2021 02:15:04 PM
2020/10/27,25-29,8,1422,02/02/2021 02:15:04 PM
2020/10/28,25-29,11,1433,02/02/2021 02:15:04 PM
2020/10/29,25-29,12,1445,02/02/2021 02:15:04 PM
2020/10/30,25-29,9,1454,02/02/2021 02:15:04 PM
2020/10/31,25-29,3,1457,02/02/2021 02:15:04 PM
2020/11/01,25-29,6,1463,02/02/2021 02:15:04 PM
2020/11/02,25-29,19,1482,02/02/2021 02:15:04 PM
2020/11/03,25-29,13,1495,02/02/2021 02:15:04 PM
2020/11/04,25-29,33,1528,02/02/2021 02:15:04 PM
2020/11/05,25-29,18,1546,02/02/2021 02:15:04 PM
2020/11/06,25-29,26,1572,02/02/2021 02:15:04 PM
2020/11/07,25-29,16,1588,02/02/2021 02:15:04 PM
2020/11/08,25-29,5,1593,02/02/2021 02:15:04 PM
2020/11/09,25-29,22,1615,02/02/2021 02:15:04 PM
2020/11/10,25-29,23,1638,02/02/2021 02:15:04 PM
2020/11/11,25-29,28,1666,02/02/2021 02:15:04 PM
2020/11/12,25-29,27,1693,02/02/2021 02:15:04 PM
2020/11/13,25-29,19,1712,02/02/2021 02:15:04 PM
2020/11/14,25-29,16,1728,02/02/2021 02:15:04 PM
2020/11/15,25-29,7,1735,02/02/2021 02:15:04 PM
2020/11/16,25-29,26,1761,02/02/2021 02:15:04 PM
2020/11/17,25-29,30,1791,02/02/2021 02:15:04 PM
2020/11/18,25-29,23,1814,02/02/2021 02:15:04 PM
2020/11/19,25-29,28,1842,02/02/2021 02:15:04 PM
2020/11/20,25-29,30,1872,02/02/2021 02:15:04 PM
2020/11/21,25-29,15,1887,02/02/2021 02:15:04 PM
2020/11/22,25-29,15,1902,02/02/2021 02:15:04 PM
2020/11/23,25-29,23,1925,02/02/2021 02:15:04 PM
2020/11/24,25-29,34,1959,02/02/2021 02:15:04 PM
2020/11/25,25-29,27,1986,02/02/2021 02:15:04 PM
2020/11/26,25-29,7,1993,02/02/2021 02:15:04 PM
2020/11/27,25-29,13,2006,02/02/2021 02:15:04 PM
2020/11/28,25-29,12,2018,02/02/2021 02:15:04 PM
2020/11/29,25-29,14,2032,02/02/2021 02:15:04 PM
2020/11/30,25-29,47,2079,02/02/2021 02:15:04 PM
2020/12/01,25-29,42,2121,02/02/2021 02:15:04 PM
2020/12/02,25-29,55,2176,02/02/2021 02:15:04 PM
2020/12/03,25-29,26,2202,02/02/2021 02:15:04 PM
2020/12/04,25-29,39,2241,02/02/2021 02:15:04 PM
2020/12/05,25-29,23,2264,02/02/2021 02:15:04 PM
2020/12/06,25-29,15,2279,02/02/2021 02:15:04 PM
2020/12/07,25-29,41,2320,02/02/2021 02:15:04 PM
2020/12/08,25-29,46,2366,02/02/2021 02:15:04 PM
2020/12/09,25-29,33,2399,02/02/2021 02:15:04 PM
2020/12/10,25-29,49,2448,02/02/2021 02:15:04 PM
2020/12/11,25-29,33,2481,02/02/2021 02:15:04 PM
2020/12/12,25-29,18,2499,02/02/2021 02:15:04 PM
2020/12/13,25-29,18,2517,02/02/2021 02:15:04 PM
2020/12/14,25-29,49,2566,02/02/2021 02:15:04 PM
2020/12/15,25-29,43,2609,02/02/2021 02:15:04 PM
2020/12/16,25-29,46,2655,02/02/2021 02:15:04 PM
2020/12/17,25-29,41,2696,02/02/2021 02:15:04 PM
2020/12/18,25-29,30,2726,02/02/2021 02:15:04 PM
2020/12/19,25-29,12,2738,02/02/2021 02:15:04 PM
2020/12/20,25-29,18,2756,02/02/2021 02:15:04 PM
2020/12/21,25-29,31,2787,02/02/2021 02:15:04 PM
2020/12/22,25-29,39,2826,02/02/2021 02:15:04 PM
2020/12/23,25-29,35,2861,02/02/2021 02:15:04 PM
2020/12/24,25-29,18,2879,02/02/2021 02:15:04 PM
2020/12/25,25-29,5,2884,02/02/2021 02:15:04 PM
2020/12/26,25-29,27,2911,02/02/2021 02:15:04 PM
2020/12/27,25-29,15,2926,02/02/2021 02:15:04 PM
2020/12/28,25-29,48,2974,02/02/2021 02:15:04 PM
2020/12/29,25-29,47,3021,02/02/2021 02:15:04 PM
2020/12/30,25-29,38,3059,02/02/2021 02:15:04 PM
2020/12/31,25-29,29,3088,02/02/2021 02:15:04 PM
2021/01/01,25-29,7,3095,02/02/2021 02:15:04 PM
2021/01/02,25-29,36,3131,02/02/2021 02:15:04 PM
2021/01/03,25-29,28,3159,02/02/2021 02:15:04 PM
2021/01/04,25-29,75,3234,02/02/2021 02:15:04 PM
2021/01/05,25-29,75,3309,02/02/2021 02:15:04 PM
2021/01/06,25-29,52,3361,02/02/2021 02:15:04 PM
2021/01/07,25-29,57,3418,02/02/2021 02:15:04 PM
2021/01/08,25-29,51,3469,02/02/2021 02:15:04 PM
2021/01/09,25-29,27,3496,02/02/2021 02:15:04 PM
2021/01/10,25-29,13,3509,02/02/2021 02:15:04 PM
2021/01/11,25-29,52,3561,02/02/2021 02:15:04 PM
2021/01/12,25-29,44,3605,02/02/2021 02:15:04 PM
2021/01/13,25-29,36,3641,02/02/2021 02:15:04 PM
2021/01/14,25-29,46,3687,02/02/2021 02:15:04 PM
2021/01/15,25-29,36,3723,02/02/2021 02:15:04 PM
2021/01/16,25-29,18,3741,02/02/2021 02:15:04 PM
2021/01/17,25-29,9,3750,02/02/2021 02:15:04 PM
2021/01/18,25-29,18,3768,02/02/2021 02:15:04 PM
2021/01/19,25-29,27,3795,02/02/2021 02:15:04 PM
2021/01/20,25-29,25,3820,02/02/2021 02:15:04 PM
2021/01/21,25-29,31,3851,02/02/2021 02:15:04 PM
2021/01/22,25-29,27,3878,02/02/2021 02:15:04 PM
2021/01/23,25-29,16,3894,02/02/2021 02:15:04 PM
2021/01/24,25-29,14,3908,02/02/2021 02:15:04 PM
2021/01/25,25-29,27,3935,02/02/2021 02:15:04 PM
2021/01/26,25-29,19,3954,02/02/2021 02:15:04 PM
2021/01/27,25-29,14,3968,02/02/2021 02:15:04 PM
2021/01/28,25-29,15,3983,02/02/2021 02:15:04 PM
2021/01/29,25-29,14,3997,02/02/2021 02:15:04 PM
2021/01/30,25-29,8,4005,02/02/2021 02:15:04 PM
2021/01/31,25-29,5,4010,02/02/2021 02:15:04 PM
2020/03/11,30-39,3,7,02/02/2021 02:15:04 PM
2020/03/12,30-39,1,8,02/02/2021 02:15:04 PM
2020/03/13,30-39,3,11,02/02/2021 02:15:04 PM
2020/03/14,30-39,3,14,02/02/2021 02:15:04 PM
2020/03/15,30-39,4,18,02/02/2021 02:15:04 PM
2020/03/16,30-39,16,34,02/02/2021 02:15:04 PM
2020/03/17,30-39,14,48,02/02/2021 02:15:04 PM
2020/03/18,30-39,4,52,02/02/2021 02:15:04 PM
2020/03/19,30-39,4,56,02/02/2021 02:15:04 PM
2020/03/20,30-39,8,64,02/02/2021 02:15:04 PM
2020/03/21,30-39,4,68,02/02/2021 02:15:04 PM
2020/03/22,30-39,2,70,02/02/2021 02:15:04 PM
2020/03/23,30-39,6,76,02/02/2021 02:15:04 PM
2020/03/24,30-39,12,88,02/02/2021 02:15:04 PM
2020/03/25,30-39,10,98,02/02/2021 02:15:04 PM
2020/03/26,30-39,7,105,02/02/2021 02:15:04 PM
2020/03/27,30-39,7,112,02/02/2021 02:15:04 PM
2020/03/28,30-39,3,115,02/02/2021 02:15:04 PM
2020/03/29,30-39,2,117,02/02/2021 02:15:04 PM
2020/03/30,30-39,7,124,02/02/2021 02:15:04 PM
2020/03/31,30-39,14,138,02/02/2021 02:15:04 PM
2020/04/01,30-39,6,144,02/02/2021 02:15:04 PM
2020/04/02,30-39,11,155,02/02/2021 02:15:04 PM
2020/04/03,30-39,7,162,02/02/2021 02:15:04 PM
2020/04/04,30-39,5,167,02/02/2021 02:15:04 PM
2020/04/05,30-39,11,178,02/02/2021 02:15:04 PM
2020/04/06,30-39,7,185,02/02/2021 02:15:04 PM
2020/04/07,30-39,10,195,02/02/2021 02:15:04 PM
2020/04/08,30-39,14,209,02/02/2021 02:15:04 PM
2020/04/09,30-39,12,221,02/02/2021 02:15:04 PM
2020/04/10,30-39,6,227,02/02/2021 02:15:04 PM
2020/04/11,30-39,8,235,02/02/2021 02:15:04 PM
2020/04/12,30-39,4,239,02/02/2021 02:15:04 PM
2020/04/13,30-39,5,244,02/02/2021 02:15:04 PM
2020/04/14,30-39,7,251,02/02/2021 02:15:04 PM
2020/04/15,30-39,11,262,02/02/2021 02:15:04 PM
2020/04/16,30-39,9,271,02/02/2021 02:15:04 PM
2020/04/17,30-39,12,283,02/02/2021 02:15:04 PM
2020/04/18,30-39,3,286,02/02/2021 02:15:04 PM
2020/04/19,30-39,3,289,02/02/2021 02:15:04 PM
2020/04/20,30-39,7,296,02/02/2021 02:15:04 PM
2020/04/21,30-39,6,302,02/02/2021 02:15:04 PM
2020/04/22,30-39,5,307,02/02/2021 02:15:04 PM
2020/04/23,30-39,11,318,02/02/2021 02:15:04 PM
2020/04/24,30-39,7,325,02/02/2021 02:15:04 PM
2020/04/25,30-39,8,333,02/02/2021 02:15:04 PM
2020/04/26,30-39,12,345,02/02/2021 02:15:04 PM
2020/04/27,30-39,9,354,02/02/2021 02:15:04 PM
2020/04/28,30-39,16,370,02/02/2021 02:15:04 PM
2020/04/29,30-39,7,377,02/02/2021 02:15:04 PM
2020/04/30,30-39,9,386,02/02/2021 02:15:04 PM
2020/05/01,30-39,9,395,02/02/2021 02:15:04 PM
2020/05/02,30-39,16,411,02/02/2021 02:15:04 PM
2020/05/03,30-39,5,416,02/02/2021 02:15:04 PM
2020/05/04,30-39,7,423,02/02/2021 02:15:04 PM
2020/05/05,30-39,11,434,02/02/2021 02:15:04 PM
2020/05/06,30-39,9,443,02/02/2021 02:15:04 PM
2020/05/07,30-39,10,453,02/02/2021 02:15:04 PM
2020/05/08,30-39,5,458,02/02/2021 02:15:04 PM
2020/05/09,30-39,2,460,02/02/2021 02:15:04 PM
2020/05/10,30-39,3,463,02/02/2021 02:15:04 PM
2020/05/11,30-39,9,472,02/02/2021 02:15:04 PM
2020/05/12,30-39,11,483,02/02/2021 02:15:04 PM
2020/05/13,30-39,10,493,02/02/2021 02:15:04 PM
2020/05/14,30-39,8,501,02/02/2021 02:15:04 PM
2020/05/15,30-39,13,514,02/02/2021 02:15:04 PM
2020/05/16,30-39,4,518,02/02/2021 02:15:04 PM
2020/05/17,30-39,4,522,02/02/2021 02:15:04 PM
2020/05/18,30-39,13,535,02/02/2021 02:15:04 PM
2020/05/19,30-39,2,537,02/02/2021 02:15:04 PM
2020/05/20,30-39,10,547,02/02/2021 02:15:04 PM
2020/05/21,30-39,2,549,02/02/2021 02:15:04 PM
2020/05/22,30-39,8,557,02/02/2021 02:15:04 PM
2020/05/23,30-39,2,559,02/02/2021 02:15:04 PM
2020/05/24,30-39,2,561,02/02/2021 02:15:04 PM
2020/05/25,30-39,1,562,02/02/2021 02:15:04 PM
2020/05/26,30-39,14,576,02/02/2021 02:15:04 PM
2020/05/27,30-39,10,586,02/02/2021 02:15:04 PM
2020/05/28,30-39,7,593,02/02/2021 02:15:04 PM
2020/05/29,30-39,11,604,02/02/2021 02:15:04 PM
2020/05/30,30-39,9,613,02/02/2021 02:15:04 PM
2020/05/31,30-39,9,622,02/02/2021 02:15:04 PM
2020/06/01,30-39,5,627,02/02/2021 02:15:04 PM
2020/06/02,30-39,8,635,02/02/2021 02:15:04 PM
2020/06/03,30-39,10,645,02/02/2021 02:15:04 PM
2020/06/04,30-39,8,653,02/02/2021 02:15:04 PM
2020/06/05,30-39,5,658,02/02/2021 02:15:04 PM
2020/06/06,30-39,2,660,02/02/2021 02:15:04 PM
2020/06/07,30-39,4,664,02/02/2021 02:15:04 PM
2020/06/08,30-39,4,668,02/02/2021 02:15:04 PM
2020/06/09,30-39,7,675,02/02/2021 02:15:04 PM
2020/06/10,30-39,3,678,02/02/2021 02:15:04 PM
2020/06/11,30-39,8,686,02/02/2021 02:15:04 PM
2020/06/12,30-39,8,694,02/02/2021 02:15:04 PM
2020/06/13,30-39,6,700,02/02/2021 02:15:04 PM
2020/06/14,30-39,5,705,02/02/2021 02:15:04 PM
2020/06/15,30-39,7,712,02/02/2021 02:15:04 PM
2020/06/16,30-39,5,717,02/02/2021 02:15:04 PM
2020/06/17,30-39,16,733,02/02/2021 02:15:04 PM
2020/06/18,30-39,9,742,02/02/2021 02:15:04 PM
2020/06/19,30-39,7,749,02/02/2021 02:15:04 PM
2020/06/20,30-39,13,762,02/02/2021 02:15:04 PM
2020/06/21,30-39,6,768,02/02/2021 02:15:04 PM
2020/06/22,30-39,25,793,02/02/2021 02:15:04 PM
2020/06/23,30-39,17,810,02/02/2021 02:15:04 PM
2020/06/24,30-39,18,828,02/02/2021 02:15:04 PM
2020/06/25,30-39,15,843,02/02/2021 02:15:04 PM
2020/06/26,30-39,21,864,02/02/2021 02:15:04 PM
2020/06/27,30-39,13,877,02/02/2021 02:15:04 PM
2020/06/28,30-39,6,883,02/02/2021 02:15:04 PM
2020/06/29,30-39,23,906,02/02/2021 02:15:04 PM
2020/06/30,30-39,29,935,02/02/2021 02:15:04 PM
2020/07/01,30-39,23,958,02/02/2021 02:15:04 PM
2020/07/02,30-39,28,986,02/02/2021 02:15:04 PM
2020/07/03,30-39,19,1005,02/02/2021 02:15:04 PM
2020/07/04,30-39,10,1015,02/02/2021 02:15:04 PM
2020/07/05,30-39,13,1028,02/02/2021 02:15:04 PM
2020/07/06,30-39,18,1046,02/02/2021 02:15:04 PM
2020/07/07,30-39,28,1074,02/02/2021 02:15:04 PM
